code,country,region,population,area,pop_density,coastline,net_migration,infant_mortality,gdp,literacy,phones,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service,latitude,longitude
MRT,Mauritania,SUB-SAHARANAFRICA,3177388,1030700,"3,1","0,07",0,"70,89",1800,"41,7","12,9","0,48","0,01","99,51",1,"40,99","12,16","0,25","0,29","0,46","21,00789","-10,940835"
MUS,Mauritius,SUB-SAHARANAFRICA,1240827,2040,"608,3","8,68","-0,9","15,03",11400,"85,6","289,3","49,26","2,96","47,78",2,"15,43","6,86",59,298,643,"-20,348404","57,552152"
MYT,Mayotte,SUB-SAHARANAFRICA,201234,374,"538,1","49,52","6,78","62,4",2600,,"49,7",,,,2,"40,95","7,7",,,,"-12,8275","45,166244"
MEX,Mexico,LATINAMER.&CARIB,107449525,1972550,"54,5","0,47","-4,87","20,91",9000,"92,2","181,6","12,99","1,31","85,7","1,5","20,69","4,74",38,259,702,"23,634501","-102,552784"
FSM,"Micronesia,Fed.St.",OCEANIA,108004,702,"153,9","870,66","-20,99","30,21",2000,89,"114,8","5,71","45,71","48,58",2,"24,68","4,75",289,152,559,"7,425554","150,550812"
MDA,Moldova,C.W.OFIND.STATES,4466706,33843,132,0,"-0,26","40,42",1800,"99,1","208,1","55,3","10,79","33,91",,"15,7","12,64",213,233,555,"47,411631","28,369885"
MCO,Monaco,WESTERNEUROPE,32543,2,"16271,5",205,"7,75","5,43",27000,99,"1035,6",0,0,100,,"9,19","12,91","0,17",,,"43,750298","7,412841"
MNG,Mongolia,ASIA(EX.NEAREAST),2832224,1564116,"1,8",0,0,"53,79",1800,"97,8","55,1","0,77",0,"99,23",1,"21,59","6,95",206,214,"0,58","46,862496","103,846656"
MSR,Montserrat,LATINAMER.&CARIB,9439,102,"92,5","39,22",0,"7,35",3400,97,,20,0,80,2,"17,59","7,1",,,,"16,742498","-62,187366"
MAR,Morocco,NORTHERNAFRICA,33241259,446550,"74,4","0,41","-0,98","41,62",4000,"51,7","40,4","19,61","2,17","78,22",,"21,98","5,58",217,357,426,"31,791702","-7,09262"
MOZ,Mozambique,SUB-SAHARANAFRICA,19686505,801590,"24,6","0,31",0,"130,79",1200,"47,8","3,5","5,1","0,3","94,6",2,"35,18","21,35",262,348,"0,39","-18,665695","35,529562"
NAM,Namibia,SUB-SAHARANAFRICA,2044147,825418,"2,5","0,19",0,"48,98",7200,84,"62,6","0,99",0,"99,01",1,"24,32","18,86",97,315,588,"-22,95764","18,49041"
NRU,Nauru,OCEANIA,13287,21,"632,7","142,86",0,"9,95",5000,,143,0,0,100,2,"24,76","6,7",,,,"-0,522778","166,931503"
NPL,Nepal,ASIA(EX.NEAREAST),28287147,147181,"192,2",0,0,"66,98",1400,"45,2","15,9","21,68","0,64","77,68",,"30,98","9,31","0,38","0,21","0,41","28,394857","84,124008"
NLD,Netherlands,WESTERNEUROPE,16491461,41526,"397,1","1,09","2,91","5,04",28600,99,"460,8","26,71","0,97","72,32",3,"10,9","8,68",21,244,736,"52,132633","5,291266"
ANT,NetherlandsAntilles,LATINAMER.&CARIB,221736,960,231,"37,92","-0,41","10,03",11400,"96,7","365,3",10,0,90,2,"14,78","6,45","0,01","0,15","0,84","12,226079","-69,060087"
NCL,NewCaledonia,OCEANIA,219246,19060,"11,5","11,83",0,"7,72",15000,91,"252,2","0,38","0,33","99,29",2,"18,11","5,69","0,15",88,762,"-20,904305","165,618042"
NZL,NewZealand,OCEANIA,4076140,268680,"15,2","5,63","4,05","5,85",21600,99,"441,7","5,6","6,99","87,41",3,"13,76","7,53",43,273,684,"-40,900557","174,885971"
NIC,Nicaragua,LATINAMER.&CARIB,5570129,129494,43,"0,7","-1,22","29,11",2300,"67,5","39,7","15,94","1,94","82,12",2,"24,51","4,45",165,275,"0,56","12,865416","-85,207229"
NER,Niger,SUB-SAHARANAFRICA,12525094,1267000,"9,9",0,"-0,67","121,69",800,"17,6","1,9","3,54","0,01","96,45",1,"50,73","20,91","0,39","0,17","0,44","17,607789","8,081666"
NGA,Nigeria,SUB-SAHARANAFRICA,131859731,923768,"142,7","0,09","0,26","98,8",900,68,"9,3","31,29","2,96","65,75","1,5","40,43","16,94",269,487,244,"9,081999","8,675277"
MNP,N.MarianaIslands,OCEANIA,82459,477,"172,9","310,69","9,61","7,11",12500,97,"254,7","13,04","4,35","82,61",2,"19,43","2,29",,,,"17,33083","145,38469"
NOR,Norway,WESTERNEUROPE,4610820,323802,"14,2","7,77","1,74","3,7",37800,100,"461,7","2,87",0,"97,13",3,"11,46","9,4",21,415,564,"60,472024","8,468946"
OMN,Oman,NEAREAST,3102229,212460,"14,6","0,98","0,28","19,51",13100,"75,8","85,5",0,"0,14","99,74",1,"36,24","3,81",27,"0,39",583,"21,512583","55,923255"
PAK,Pakistan,ASIA(EX.NEAREAST),165803560,803940,"206,2","0,13","-2,77","72,44",2100,"45,7","31,8","27,87","0,87","71,26",1,"29,74","8,23",216,251,533,"30,375321","69,345116"
PLW,Palau,OCEANIA,20579,458,"44,9","331,66","2,85","14,84",9000,92,"325,6","8,7","4,35","86,95",2,"18,03","6,8",62,"0,12",818,"7,51498","134,58252"
PAN,Panama,LATINAMER.&CARIB,3191319,78200,"40,8","3,18","-0,91","20,47",6300,"92,6","137,9","7,36","1,98","90,66",2,"21,74","5,36",68,156,776,"8,537981","-80,782127"
PNG,PapuaNewGuinea,OCEANIA,5670544,462840,"12,3","1,11",0,"51,45",2200,"64,6","10,9","0,46","1,44","98,1",2,"29,36","7,25",353,381,266,"-6,314993","143,95555"
PRY,Paraguay,LATINAMER.&CARIB,6506464,406750,16,0,"-0,08","25,63",4700,94,"49,2","7,6","0,23","92,17",2,"29,1","4,49",224,207,569,"-23,442503","-58,443832"
PER,Peru,LATINAMER.&CARIB,28302603,1285220,22,"0,19","-1,05","31,94",5100,"90,9","79,5","2,89","0,4","96,71","1,5","20,48","6,23","0,08","0,27","0,65","-9,189967","-75,015152"
PHL,Philippines,ASIA(EX.NEAREAST),89468677,300000,"298,2","12,1","-1,5","23,51",4600,"92,6","38,4","18,95","16,77","64,28",2,"24,89","5,41",144,326,"0,53","12,879721","121,774017"
POL,Poland,EASTERNEUROPE,38536869,312685,"123,3","0,16","-0,49","8,51",11100,"99,8","306,3","45,91","1,12","52,97",3,"9,85","9,89","0,05",311,"0,64","51,919438","19,145136"
PRT,Portugal,WESTERNEUROPE,10605870,92391,"114,8","1,94","3,57","5,05",18000,"93,3","399,2","21,75","7,81","70,44",3,"10,72","10,5",53,274,673,"39,399872","-8,224454"
PRI,PuertoRico,LATINAMER.&CARIB,3927188,13790,"284,8","3,63","-1,46","8,24",16800,"94,1","283,1","3,95","5,52","90,53",2,"12,77","7,65","0,01","0,45","0,54","18,220833","-66,590149"
QAT,Qatar,NEAREAST,885359,11437,"77,4","4,92","16,29","18,61",21500,"82,5",232,"1,64","0,27","98,09",1,"15,56","4,72",2,801,197,"25,354826","51,183884"
REU,Reunion,SUB-SAHARANAFRICA,787584,2517,"312,9","8,22",0,"7,78",5800,"88,9","380,9","13,6","1,2","85,2",2,"18,9","5,49","0,08","0,19","0,73","-21,115141","55,536384"
ROU,Romania,EASTERNEUROPE,22303552,237500,"93,9","0,09","-0,13","26,43",7000,"98,4","196,9","40,82","2,25","56,93",3,"10,7","11,77",101,"0,35",549,"45,943161","24,96676"
RUS,Russia,C.W.OFIND.STATES,142893540,17075200,"8,4","0,22","1,02","15,39",8900,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65",54,371,575,"61,52401","105,318756"
RWA,Rwanda,SUB-SAHARANAFRICA,8648248,26338,"328,4",0,0,"91,23",1300,"70,4","2,7","40,54","12,16","47,3",3,"40,37","16,09",401,229,"0,37","-1,940278","29,873888"
SHN,SaintHelena,SUB-SAHARANAFRICA,7502,413,"18,2","14,53",0,19,2500,97,"293,3","12,9",0,"87,1",,"12,13","6,53",,,,"-24,143474","-10,030696"
KNA,SaintKitts&Nevis,LATINAMER.&CARIB,39129,261,"149,9","51,72","-7,11","14,49",8800,97,"638,9","19,44","2,78","77,78",2,"18,02","8,33",35,258,707,"17,357822","-62,782998"
LCA,SaintLucia,LATINAMER.&CARIB,168458,616,"273,5","25,65","-2,67","13,53",5400,67,"303,3","6,56","22,95","70,49",2,"19,68","5,08","0,07","0,2","0,73","13,909444","-60,978893"
SPM,StPierre&Miquelon,NORTHERNAMERICA,7026,242,29,"49,59","-4,86","7,54",6900,99,"683,2","13,04",0,"86,96",,"13,52","6,83",,,,"46,941936","-56,27111"
VCT,SaintVincentandtheGrenadines,LATINAMER.&CARIB,117848,389,303,"21,59","-7,64","14,78",2900,96,"190,9","17,95","17,95","64,1",2,"16,18","5,98","0,1","0,26","0,64","12,984305","-61,287228"
WSM,Samoa,OCEANIA,176908,2944,"60,1","13,69","-11,7","27,71",5600,"99,7","75,2","21,2","24,38","54,42",2,"16,43","6,62",114,584,302,"-13,759029","-172,104629"
SMR,SanMarino,WESTERNEUROPE,29251,61,"479,5",0,"10,98","5,73",34600,96,"704,3","16,67",0,"83,33",,"10,02","8,17",,,,"43,94236","12,457777"
STP,SaoTome&Principe,SUB-SAHARANAFRICA,193413,1001,"193,2","20,88","-2,72","43,11",1200,"79,3","36,2","6,25","48,96","44,79",2,"40,25","6,47",167,148,684,"0,18636","6,613081"
SAU,SaudiArabia,NEAREAST,27019731,1960582,"13,8","0,13","-2,71","13,24",11800,"78,8","140,6","1,67","0,09","98,24",1,"29,34","2,58",33,613,354,"23,885942","45,079162"
SEN,Senegal,SUB-SAHARANAFRICA,11987121,196190,"61,1","0,27","0,2","55,51",1600,"40,2","22,2","12,78","0,21","87,01",2,"32,78","9,42",172,209,619,"14,497401","-14,452362"
SRB,Serbia,EASTERNEUROPE,9396411,88361,"106,3",0,"-1,33","12,89",2200,93,"285,8","33,35","3,2","63,45",,,,166,255,579,"44,016521","21,005859"
SYC,Seychelles,SUB-SAHARANAFRICA,81541,455,"179,2","107,91","-5,69","15,53",7800,58,"262,4","2,22","13,33","84,45",2,"16,03","6,29",32,304,665,"-4,679574","55,491977"
SLE,SierraLeone,SUB-SAHARANAFRICA,6005250,71740,"83,7","0,56",0,"143,64",500,"31,4",4,"6,98","0,89","92,13",2,"45,76","23,03","0,49","0,31","0,21","8,460555","-11,779889"
SGP,Singapore,ASIA(EX.NEAREAST),4492150,693,"6482,2","27,85","11,53","2,29",23700,"92,5","411,4","1,64",0,"98,36",2,"9,34","4,28",0,339,661,"1,352083","103,819836"
SVK,Slovakia,EASTERNEUROPE,5439448,48845,"111,4",0,"0,3","7,41",13300,,"220,1","30,16","2,62","67,22",3,"10,65","9,45",35,294,672,"48,669026","19,699024"
SVN,Slovenia,EASTERNEUROPE,2010347,20273,"99,2","0,23","1,12","4,45",19000,"99,7","406,1","8,6","1,49","89,91",,"8,98","10,31",28,369,603,"46,151241","14,995463"
SLB,SolomonIslands,OCEANIA,552438,28450,"19,4","18,67",0,"21,29",1700,,"13,4","0,64",2,"97,36",2,"30,01","3,92","0,42","0,11","0,47","-9,64571","160,156194"
SOM,Somalia,SUB-SAHARANAFRICA,8863338,637657,"13,9","0,47","5,37","116,7",500,"37,8","11,3","1,67","0,04","98,29",1,"45,13","16,63","0,65","0,1","0,25","5,152149","46,199616"
ZAF,SouthAfrica,SUB-SAHARANAFRICA,44187637,1219912,"36,2","0,23","-0,29","61,81",10700,"86,4",107,"12,08","0,79","87,13",1,"18,2",22,25,303,671,"-30,559482","22,937506"
ESP,Spain,WESTERNEUROPE,40397842,504782,80,"0,98","0,99","4,42",22000,"97,9","453,5","26,07","9,87","64,06",3,"10,06","9,72","0,04",295,665,"40,463667","-3,74922"
LKA,SriLanka,ASIA(EX.NEAREAST),20222240,65610,"308,2","2,04","-1,31","14,35",3700,"92,3","61,5","13,86","15,7","70,44",2,"15,51","6,52",178,276,545,"7,873054","80,771797"
SDN,Sudan,SUB-SAHARANAFRICA,41236378,2505810,"16,5","0,03","-0,02","62,5",1900,"61,1","16,3","6,83","0,18","92,99",2,"34,53","8,97",387,203,"0,41","12,862807","30,217636"
SUR,Suriname,LATINAMER.&CARIB,439117,163270,"2,7","0,24","-8,81","23,57",4000,93,"184,7","0,37","0,06","99,57",2,"18,02","7,27","0,13","0,22","0,65","3,919305","-56,027783"
SWZ,Swaziland,SUB-SAHARANAFRICA,1136334,17363,"65,5",0,0,"69,27",4900,"81,6","30,8","10,35","0,7","88,95","2,5","27,41","29,74",119,515,366,"-26,522503","31,465866"
SWE,Sweden,WESTERNEUROPE,9016596,449964,20,"0,72","1,67","2,77",26800,99,715,"6,54","0,01","93,45",3,"10,27","10,31",11,282,707,"60,128161","18,643501"
CHE,Switzerland,WESTERNEUROPE,7523934,41290,"182,2",0,"4,05","4,39",32700,99,"680,9","10,42","0,61","88,97",3,"9,71","8,49",15,"0,34",645,"46,818188","8,227512"
SYR,Syria,NEAREAST,18881361,185180,102,"0,1",0,"29,53",3300,"76,9","153,8","25,22","4,43","70,35",1,"27,76","4,81",249,"0,23",519,"34,802075","38,996815"
TWN,Taiwan,ASIA(EX.NEAREAST),23036087,35980,"640,3","4,35",0,"6,4",23400,"96,1",591,24,1,75,2,"12,56","6,48",18,259,723,"23,69781","120,960515"
TJK,Tajikistan,C.W.OFIND.STATES,7320815,143100,"51,2",0,"-2,86","110,76",1000,"99,4","33,5","6,61","0,92","92,47",2,"32,65","8,25",234,286,"0,48","38,861034","71,276093"
TZA,Tanzania,SUB-SAHARANAFRICA,37445392,945087,"39,6","0,15","-2,06","98,54",600,"78,2",4,"4,52","1,08","94,4",,"37,71","16,39",432,172,396,"-6,369028","34,888822"
THA,Thailand,ASIA(EX.NEAREAST),64631595,514000,"125,7","0,63",0,"20,48",7400,"92,6","108,9","29,36","6,46","64,18",2,"13,87","7,04",99,441,"0,46","15,870032","100,992541"
TGO,Togo,SUB-SAHARANAFRICA,5548702,56785,"97,7","0,1",0,"66,61",1500,"60,9","10,6","46,15","2,21","51,64",2,"37,01","9,83",395,204,401,"8,619543","0,824782"
TON,Tonga,OCEANIA,114689,748,"153,3","56,02",0,"12,62",2200,"98,5","97,7","23,61","43,06","33,33",2,"25,37","5,28","0,23","0,27","0,5","-21,178986","-175,198242"
TTO,Trinidad&Tobago,LATINAMER.&CARIB,1065842,5128,"207,9","7,06","-10,83","24,31",9500,"98,6","303,5","14,62","9,16","76,22",2,"12,9","10,57",7,"0,57",423,"10,691803","-61,222503"
TUN,Tunisia,NORTHERNAFRICA,10175014,163610,"62,2","0,7","-0,57","24,77",6900,"74,2","123,6","17,86","13,74","68,4",3,"15,52","5,13",132,318,"0,55","33,886917","9,537499"
TUR,Turkey,NEAREAST,70413958,780580,"90,2","0,92",0,"41,04",6700,"86,5","269,5","30,93","3,31","65,76",3,"16,62","5,97",117,298,585,"38,963745","35,243322"
TKM,Turkmenistan,C.W.OFIND.STATES,5042920,488100,"10,3",0,"-0,86","73,08",5800,98,"74,6","3,72","0,14","96,14",1,"27,61","8,6",209,"0,38",411,"38,969719","59,556278"
TCA,Turks&CaicosIs,LATINAMER.&CARIB,21152,430,"49,2","90,47","11,68","15,67",9600,98,"269,5","2,33",0,"97,67",2,"21,84","4,21",,,,"21,694025","-71,797928"
TUV,Tuvalu,OCEANIA,11810,26,"454,2","92,31",0,"20,03",1100,,"59,3",0,0,100,2,"22,18","7,11",166,272,562,"-7,109535","177,64933"
UGA,Uganda,SUB-SAHARANAFRICA,28195754,236040,"119,5",0,0,"67,83",1400,"69,9","3,6","25,88","10,65","63,47",2,"47,35","12,24",311,222,469,"1,373333","32,290275"
UKR,Ukraine,C.W.OFIND.STATES,46710816,603700,"77,4","0,46","-0,39","20,34",5400,"99,7","259,9","56,21","1,61","42,18",3,"8,82","14,39",187,452,361,"48,379433","31,16558"
ARE,UnitedArabEmirates,NEAREAST,2602713,82880,"31,4","1,59","1,03","14,51",23200,"77,9","475,3","0,6","2,25","97,15",1,"18,96","4,4","0,04",585,375,"23,424076","53,847818"
GBR,UnitedKingdom,WESTERNEUROPE,60609153,244820,"247,6","5,08","2,19","5,16",27700,99,"543,5","23,46","0,21","76,33",3,"10,71","10,13",5,237,758,"55,378051","-3,435973"
USA,UnitedStates,NORTHERNAMERICA,298444215,9631420,31,"0,21","3,41","6,5",37800,97,898,"19,13","0,22","80,65",3,"14,14","8,26","0,01",204,787,"37,09024","-95,712891"
URY,Uruguay,LATINAMER.&CARIB,3431932,176220,"19,5","0,37","-0,32","11,95",12800,98,"291,4","7,43","0,23","92,34",3,"13,91","9,05",93,311,596,"-32,522779","-55,765835"
UZB,Uzbekistan,C.W.OFIND.STATES,27307134,447400,61,0,"-1,72","71,1",1700,"99,3","62,9","10,83","0,83","88,34",1,"26,36","7,84",342,229,"0,43","41,377491","64,585262"
VUT,Vanuatu,OCEANIA,208869,12200,"17,1","20,72",0,"55,16",2900,53,"32,6","2,46","7,38","90,16",2,"22,72","7,82","0,26","0,12","0,62","-15,376706","166,959158"
VEN,Venezuela,LATINAMER.&CARIB,25730435,912050,"28,2","0,31","-0,04","22,2",4800,"93,4","140,1","2,95","0,92","96,13",2,"18,71","4,92","0,04",419,541,"6,42375","-66,58973"
VNM,Vietnam,ASIA(EX.NEAREAST),84402966,329560,"256,1","1,05","-0,45","25,95",2500,"90,3","187,7","19,97","5,95","74,08",2,"16,86","6,22",209,"0,41",381,"14,058324","108,277199"
VGB,VirginIslands,LATINAMER.&CARIB,108605,1910,"56,9","9,84","-8,94","8,03",17200,,"652,8","11,76","2,94","85,3",2,"13,96","6,43","0,01","0,19","0,8","18,335765","-64,896335"
WLF,WallisandFutuna,OCEANIA,16025,274,"58,5","47,08",,,3700,50,"118,6",5,25,70,2,,,,,,"-13,768752","-177,156097"
,WestBank,NEAREAST,2460492,5860,"419,9",0,"2,98","19,62",800,,"145,2","16,9","18,97","64,13",3,"31,67","3,92","0,09","0,28","0,63","31,90263","35,19389"
ESH,WesternSahara,NORTHERNAFRICA,273008,266000,1,"0,42",,,,,,"0,02",0,"99,98",1,,,,,"0,4","24,215527","-12,885834"
YEM,Yemen,NEAREAST,21456188,527970,"40,6","0,36",0,"61,5",800,"50,2","37,2","2,78","0,24","96,98",1,"42,89","8,3",135,472,393,"15,552727","48,516388"
ZMB,Zambia,SUB-SAHARANAFRICA,11502010,752614,"15,3",0,0,"88,29",800,"80,6","8,2","7,08","0,03","92,9",2,41,"19,93","0,22","0,29",489,"-13,133897","27,849332"
ZWE,Zimbabwe,SUB-SAHARANAFRICA,12236805,390580,"31,3",0,0,"67,69",1900,"90,7","26,8","8,32","0,34","91,34",2,"28,01","21,84",179,243,579,"-19,015438","29,154857"
